Wall time,Step,Value
1725718974.327091,4,0.03394470363855362
1725718975.2548969,14,0.0
1725718975.346406,15,0.0
1725718975.616139,18,0.0
1725718975.707078,19,0.0
1725718975.801667,20,0.0
1725718975.99816,22,0.0
1725718976.368145,26,0.0
1725718976.45873,27,0.0
1725718977.628714,40,0.0
1725718978.256727,47,0.0
1725718978.349489,48,0.0
1725718978.439795,49,0.0
1725718978.891802,54,0.0
1725718979.4566138,60,0.0
1725718979.5495129,61,0.0
1725718979.6394591,62,0.0
1725718979.731796,63,0.0
1725718980.00227,66,0.0
1725718980.091651,67,0.0
1725718980.182821,68,0.0
1725718980.365477,70,0.0
1725718980.457116,71,0.0
1725718981.0149179,77,0.0
1725718981.464226,82,0.0
1725718982.103341,89,0.0
1725718982.9989781,99,0.0
1725718983.369882,103,0.0
1725718983.626699,106,0.0
1725718983.716185,107,0.0
1725718984.540951,116,0.0
1725718985.007842,121,0.0
1725718985.389704,125,0.0
1725718985.484674,126,0.0
1725718985.677002,128,0.0
1725718985.874836,130,0.0
1725718986.44451,136,0.0
1725718986.540468,137,0.0
1725718987.199656,144,0.0
1725718987.392494,146,0.0
1725718987.490164,147,0.0
1725718987.778004,150,0.0
1725718988.449078,157,0.0
1725718988.735716,160,0.0
1725718988.926496,162,0.0
1725718989.119943,164,0.0
1725718989.692384,170,0.0
1725718989.7902012,171,0.0
1725718989.885503,172,0.0
1725718990.359,177,0.0
1725718991.027232,184,0.0
1725718991.124635,185,0.0
1725718991.2201412,186,0.0
1725718991.6007628,190,0.0
1725718991.69578,191,0.0
1725718991.789079,192,0.0
1725718992.4858549,199,0.0
1725718992.772944,202,0.0
1725718992.8692749,203,0.0
1725718992.965386,204,0.0
1725718993.060936,205,0.0
1725718993.252584,207,0.0
1725718993.639145,211,0.0
1725718993.829089,213,0.0
1725718994.003933,215,0.0
1725718994.46705,220,0.0
1725718994.563045,221,0.0
1725718994.8337731,224,0.0
1725718995.304269,229,0.0
1725718996.2663229,239,0.0
1725718996.728277,244,0.0
1725718996.825761,245,0.0
1725718996.9214542,246,0.0
1725718998.039863,258,0.0
1725718998.13635,259,0.0
1725718998.232217,260,0.0
1725718999.2835698,271,0.0
1725718999.5708501,274,0.0
1725718999.7624,276,0.0
1725718999.953282,278,0.0
1725719000.337733,282,0.0
1725719000.62313,285,0.0
1725719000.895892,288,0.0
1725719001.072195,290,0.0
1725719001.55041,295,0.0
1725719001.749472,297,0.0
1725719001.8449311,298,0.0
1725719002.606389,306,0.0
1725719002.799742,308,0.0
1725719003.209245,312,0.0
1725719003.586682,316,0.0
