Epoch,R2,MAPE,MAE,RMSE
1,-12.496519088745117,5.413143634796143,0.5163424015045166,0.6325039267539978
2,-12.489803314208984,5.297069549560547,0.5093867778778076,0.625393271446228
3,-11.660890579223633,5.167100429534912,0.49915820360183716,0.6140644550323486
4,-11.201332092285156,5.108736991882324,0.4945828318595886,0.6093593239784241
5,-11.14981746673584,5.0681986808776855,0.4920673966407776,0.6059108376502991
6,-11.026028633117676,5.048211574554443,0.4902534484863281,0.6040431261062622
7,-10.739112854003906,4.993045806884766,0.4859713315963745,0.6000820398330688
8,-11.015427589416504,5.060644626617432,0.48983219265937805,0.6034178733825684
9,-10.749505996704102,4.988316535949707,0.4860656261444092,0.5995997190475464
10,-10.762022972106934,5.000427722930908,0.48664721846580505,0.6004228591918945
