Batch_size,KINN,CVXPY
1,0.0029859542846679688,0.0040705204010009766
2,0.0009469985961914062,0.03589797019958496
3,0.0024271011352539062,0.013119220733642578
4,0.002634286880493164,0.015367507934570312
5,0.0019180774688720703,0.021216630935668945
6,0.0009808540344238281,0.030077457427978516
7,0.0024480819702148438,0.03637576103210449
8,0.002489328384399414,0.03783726692199707
9,0.0017852783203125,0.038318634033203125
10,0.0010728836059570312,0.043186187744140625
11,0.0026526451110839844,0.04811859130859375
12,0.0015931129455566406,0.05771589279174805
13,0.0013566017150878906,0.04825711250305176
14,0.001190185546875,0.05713391304016113
15,0.0013935565948486328,0.06313300132751465
16,0.002277851104736328,0.05624246597290039
17,0.001348257064819336,0.06839680671691895
18,0.001798868179321289,0.08369994163513184
19,0.003744363784790039,0.10519146919250488
